"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"ethereum","ETH","Ethereum",2017-08-05,2,222.85,256.51,221.95,256.51,1332999936,20899981312,1,34.56
"ethereum","ETH","Ethereum",2017-08-06,2,256.42,271.05,252.85,261.57,1482979968,24053475328,0.4791,18.2
"ethereum","ETH","Ethereum",2017-08-07,2,261.24,271.96,256.69,269.18,935726976,24510986240,0.8179,15.27
"ethereum","ETH","Ethereum",2017-08-08,2,269.1,298.91,266.8,296.77,1502409984,25254578176,0.9334,32.11
"ethereum","ETH","Ethereum",2017-08-09,2,297.63,318.72,276.69,296.03,2638579968,27938674688,0.4601,42.03
"ethereum","ETH","Ethereum",2017-08-10,2,296.96,306.59,289.93,295.89,1076819968,27882172416,0.3577,16.66
"ethereum","ETH","Ethereum",2017-08-11,2,294.49,309.21,294.49,308.86,953576000,27657009152,0.9762,14.72
"ethereum","ETH","Ethereum",2017-08-12,2,308.71,317.56,307.9,310.6,1111650048,28998699008,0.2795,9.66
"ethereum","ETH","Ethereum",2017-08-13,2,310.37,310.82,289.31,298.06,1369369984,29161054208,0.4068,21.51
"ethereum","ETH","Ethereum",2017-08-14,2,298.03,306.81,296.41,300.1,864390976,28008683520,0.3548,10.4
"ethereum","ETH","Ethereum",2017-08-15,2,299.95,300.41,279.33,289.82,1051800000,28195801088,0.4976,21.08
"ethereum","ETH","Ethereum",2017-08-16,2,289.82,303.41,285.39,302.27,967643008,27249725440,0.9367,18.02
"ethereum","ETH","Ethereum",2017-08-17,2,302.8,311.03,300.25,301.46,909494016,28477546496,0.1122,10.78
"ethereum","ETH","Ethereum",2017-08-18,2,301.7,307.96,292.5,295.59,936160000,28380174336,0.1999,15.46
"ethereum","ETH","Ethereum",2017-08-19,2,296.18,301.67,286.18,297.47,860201984,27867920384,0.7289,15.49
"ethereum","ETH","Ethereum",2017-08-20,2,296.64,301.43,291.58,301.43,571947008,27918127104,1,9.85
"ethereum","ETH","Ethereum",2017-08-21,2,300.48,347.05,297.23,321.59,2448969984,28285462528,0.489,49.82
"ethereum","ETH","Ethereum",2017-08-22,2,321.05,327.36,297.91,314.79,1336400000,30229891072,0.5732,29.45
"ethereum","ETH","Ethereum",2017-08-23,2,315.27,324.21,314.54,317.52,811990016,29691918336,0.3082,9.67
"ethereum","ETH","Ethereum",2017-08-24,2,317.45,327.96,317.08,325.61,697665024,29904596992,0.784,10.88
"ethereum","ETH","Ethereum",2017-08-25,2,326.11,336.4,325.8,331.92,760329024,30727895040,0.5774,10.6
"ethereum","ETH","Ethereum",2017-08-26,2,331.99,334.98,327.92,333.88,514180992,31288260608,0.8442,7.06
"ethereum","ETH","Ethereum",2017-08-27,2,334.36,347.89,334.36,347.89,633369984,31517530112,1,13.53
"ethereum","ETH","Ethereum",2017-08-28,2,350.04,352.05,338.41,347.75,854318976,33002674176,0.6848,13.64
"ethereum","ETH","Ethereum",2017-08-29,2,347.96,373.76,347.79,370.67,1220029952,32813217792,0.881,25.97
"ethereum","ETH","Ethereum",2017-08-30,2,369.47,388.75,361.97,378.48,1333319936,34848423936,0.6165,26.78
"ethereum","ETH","Ethereum",2017-08-31,2,378.44,386.14,376.35,383.04,706254016,35701485568,0.6834,9.79
"ethereum","ETH","Ethereum",2017-09-01,2,383.47,390.04,383.47,387.74,874222016,36182855680,0.6499,6.57
"ethereum","ETH","Ethereum",2017-09-02,2,387.82,389.35,328.1,348.98,1483600000,36601204736,0.3409,61.25
"ethereum","ETH","Ethereum",2017-09-03,2,350.23,366.49,332.23,347.48,986265984,33059801088,0.4451,34.26
"ethereum","ETH","Ethereum",2017-09-04,2,347.13,347.13,279.94,295.17,1801689984,32773988352,0.2267,67.19
"ethereum","ETH","Ethereum",2017-09-05,2,297.57,318.57,268.29,312.99,1551049984,28099983360,0.889,50.28
"ethereum","ETH","Ethereum",2017-09-06,2,313.8,334.66,313.49,334.34,1058830016,29639079936,0.9849,21.17
"ethereum","ETH","Ethereum",2017-09-07,2,333.52,333.52,319.94,329.43,718624000,31507544064,0.6988,13.58
"ethereum","ETH","Ethereum",2017-09-08,2,329.64,329.64,285.16,296.5,1098780032,31147151360,0.2549,44.48
"ethereum","ETH","Ethereum",2017-09-09,2,296.17,299.89,287.22,294.4,528620992,27990509568,0.5667,12.67
"ethereum","ETH","Ethereum",2017-09-10,2,294.06,294.76,268.97,288.75,698326016,27797227520,0.767,25.79
"ethereum","ETH","Ethereum",2017-09-11,2,289.74,300.69,286.68,294.53,571307008,27394424832,0.5603,14.01
"ethereum","ETH","Ethereum",2017-09-12,2,294.63,311.2,287.23,291.46,753144000,27861831680,0.1765,23.97
"ethereum","ETH","Ethereum",2017-09-13,2,291.12,291.12,260.61,277.11,921692032,27535706112,0.5408,30.51
"ethereum","ETH","Ethereum",2017-09-14,2,276.59,280.84,213.91,213.91,1184589952,26166147072,0,66.93
"ethereum","ETH","Ethereum",2017-09-15,2,215.22,258.65,195.04,250.46,1935699968,20364886016,0.8712,63.61
"ethereum","ETH","Ethereum",2017-09-16,2,250.87,262.59,238.22,246.52,711737024,23742570496,0.3406,24.37
