"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"ripple","XRP","XRP",2017-08-05,3,0.173865,0.187844,0.173267,0.184737,114270000,6666641408,0.7869,0.01
"ripple","XRP","XRP",2017-08-06,3,0.185398,0.189486,0.180298,0.180444,74161600,7108859904,0.0159,0.01
"ripple","XRP","XRP",2017-08-07,3,0.179716,0.181847,0.177605,0.179021,58052100,6891016192,0.3338,0
"ripple","XRP","XRP",2017-08-08,3,0.179602,0.194391,0.178487,0.192586,180028000,6886623232,0.8865,0.02
"ripple","XRP","XRP",2017-08-09,3,0.192527,0.192914,0.180629,0.182947,97805400,7382216192,0.1887,0.01
"ripple","XRP","XRP",2017-08-10,3,0.183168,0.1835,0.180013,0.180399,48162800,7023383040,0.1107,0
"ripple","XRP","XRP",2017-08-11,3,0.180175,0.182631,0.177627,0.179307,54059700,6910177280,0.3357,0.01
"ripple","XRP","XRP",2017-08-12,3,0.179221,0.182599,0.173242,0.173853,65229300,6873586688,0.0653,0.01
"ripple","XRP","XRP",2017-08-13,3,0.173545,0.174147,0.162625,0.168092,110199000,6655928320,0.4745,0.01
"ripple","XRP","XRP",2017-08-14,3,0.168376,0.180054,0.165289,0.169991,84388304,6457680896,0.3185,0.01
"ripple","XRP","XRP",2017-08-15,3,0.16979,0.16979,0.158244,0.161221,100614000,6510403584,0.2578,0.01
"ripple","XRP","XRP",2017-08-16,3,0.161238,0.161726,0.153087,0.160431,107920000,6182492160,0.8501,0.01
"ripple","XRP","XRP",2017-08-17,3,0.160787,0.161001,0.155909,0.157498,56084300,6165186048,0.3121,0.01
"ripple","XRP","XRP",2017-08-18,3,0.157117,0.168716,0.154162,0.158883,146539008,6024472576,0.3244,0.01
"ripple","XRP","XRP",2017-08-19,3,0.159553,0.162348,0.152305,0.155057,87062096,6117891072,0.274,0.01
"ripple","XRP","XRP",2017-08-20,3,0.154569,0.161205,0.153432,0.158735,68542800,5926767104,0.6822,0.01
